,,BTU5,,,CP1,,,BTU1,,,BTU2,,,BTU3,,,,,,,,,,,BTU4,,,,,,,,,,,P-HP4,,,,HEX-1,,,Hybrid Switch,,
Day,Hour,EWT,F1,T1,EWT,Flow,T2,EWT,Flow,T3,EWT,Flow,LWT,EWT,Flow,Heating Load,COP,HE,Heating DeltaT,Cooling Load,EER,HR,Cooling DeltaT,LWT,EWT,Flow,Heating Load,COP,HE,Heating DeltaT,Cooling Load,EER,HR,Cooling DeltaT,LWT,Ambient Temp,EWT,Flow,LWT,EWT,Flow,LWT,EWT,Flow,LWT
3,49,50.46,663.25,51.02,50.00,0.00,50.00,50.00,0.00,78.00,51.21,663.25,51.51,51.51,424.48,-1869758.09,4.24,-1428810.82,-7.27,363031.78,24.84,412889.85,2.10,46.34,51.51,238.77,-286760.66,4.24,-219133.56,-1.98,55677.38,24.84,63324.00,0.57,50.10,18.00,50.00,0.00,50.00,50.00,0.00,50.00,51.51,238.77,51.51
3,50,47.69,866.56,49.46,50.00,0.00,50.00,50.00,0.00,78.00,51.02,866.56,51.33,51.33,554.60,-2484571.51,4.23,-1897289.79,-7.39,354349.57,24.90,402908.90,1.57,45.51,51.33,311.96,-381053.24,4.23,-290983.14,-2.01,54345.81,24.90,61793.25,0.43,49.74,18.00,50.00,0.00,50.00,50.00,0.00,50.00,51.33,311.96,51.33
3,51,47.03,979.20,48.95,50.00,0.00,50.00,50.00,0.00,78.00,49.46,979.20,49.77,49.77,626.69,-2820367.91,4.15,-2139990.57,-7.38,354349.57,25.38,401992.24,1.39,43.78,49.77,352.51,-432553.59,4.15,-328205.62,-2.01,54345.81,25.38,61652.66,0.38,48.14,18.00,50.00,0.00,50.00,50.00,0.00,50.00,49.77,352.51,49.77
3,52,45.35,1055.62,47.79,50.00,0.00,50.00,50.00,0.00,78.00,48.95,1055.62,49.26,49.26,675.60,-3048183.36,4.12,-2307841.14,-7.38,354349.57,25.53,401698.56,1.28,43.17,49.26,380.02,-467493.14,4.12,-353948.49,-2.01,54345.81,25.53,61607.62,0.35,47.60,17.00,50.00,0.00,50.00,50.00,0.00,50.00,49.26,380.02,49.26
3,53,44.76,1058.57,47.37,50.00,0.00,50.00,50.00,0.00,78.00,47.79,1058.57,48.10,48.10,677.48,-3056960.48,4.05,-2302865.85,-7.34,354349.57,25.89,401047.16,1.28,42.04,48.10,381.08,-468839.27,4.05,-353185.44,-2.00,54345.81,25.89,61507.72,0.35,46.45,17.00,50.00,0.00,50.00,50.00,0.00,50.00,48.10,381.08,48.10
3,54,43.63,1080.39,46.40,50.00,0.00,50.00,50.00,0.00,78.00,47.37,1080.39,47.68,47.68,691.45,-3099894.32,4.03,-2330809.15,-7.28,376479.43,26.02,425845.15,1.33,41.73,47.68,388.94,-475423.93,4.03,-357471.04,-1.99,57739.82,26.02,65310.93,0.36,46.06,18.00,50.00,0.00,50.00,50.00,0.00,50.00,47.68,388.94,47.68
3,55,43.29,1103.49,46.07,50.00,0.00,50.00,50.00,0.00,78.00,46.40,1103.49,46.71,46.71,706.23,-3102791.70,3.98,-2322685.60,-7.10,442444.83,26.32,499801.55,1.53,41.14,46.71,397.26,-475868.30,3.98,-356225.15,-1.94,67856.79,26.32,76653.46,0.42,45.19,19.00,50.00,0.00,50.00,50.00,0.00,50.00,46.71,397.26,46.71
3,56,42.60,2058.39,44.13,50.00,0.00,50.00,50.00,0.00,78.00,46.07,2058.39,46.40,46.40,1317.37,-5310484.71,3.96,-3969589.98,-6.51,1081477.33,26.42,1221169.25,2.00,41.89,46.40,741.02,-814457.29,3.96,-608807.23,-1.77,165863.79,26.42,187288.03,0.55,45.17,20.00,50.00,0.00,50.00,50.00,0.00,50.00,46.40,741.02,46.40
3,57,43.07,2100.00,44.53,50.00,0.00,50.00,50.00,0.00,78.00,44.13,2100.00,44.46,44.46,1344.00,-5507170.02,3.85,-4078212.08,-6.55,1088310.59,27.01,1225775.82,1.97,39.87,44.46,756.00,-844622.48,3.85,-625466.37,-1.79,166911.79,27.01,187994.53,0.54,43.21,20.00,50.00,0.00,50.00,50.00,0.00,50.00,44.46,756.00,44.46
3,58,41.07,1476.31,43.42,50.00,0.00,50.00,50.00,0.00,78.00,44.53,1476.31,44.85,44.85,944.84,-3740361.09,3.88,-2775247.12,-6.34,916313.31,26.89,1032575.06,2.36,40.87,44.85,531.47,-573650.91,3.88,-425633.51,-1.73,140532.94,26.89,158363.75,0.64,43.77,21.00,50.00,0.00,50.00,50.00,0.00,50.00,44.85,531.47,44.85
